studyInstanceUID,filepath
1.2.276.0.7230010.3.1.2.8323329.17562.1517874404.788974,"/defaultStorage/fsRetrieve/5c/af/5caff767ad2f4b8b911c14ec54a66fb3.dcm"
1.2.276.0.7230010.3.1.2.8323329.6944.1517874328.746672,"/defaultStorage/fsRetrieve/18/09/1809728c7a934c408749075d6b1de3ea.dcm"
1.2.276.0.7230010.3.1.2.8323329.15584.1517874387.895224,"/defaultStorage/fsRetrieve/d7/fd/d7fd9ed026014e2cb503188e1f71d545.dcm"
1.2.276.0.7230010.3.1.2.8323329.13607.1517874373.547803,"/defaultStorage/fsRetrieve/7d/92/7d9294fca0564ee3a7beae807fb9e77c.dcm"
1.2.276.0.7230010.3.1.2.8323329.14356.1517874378.982456,"/defaultStorage/fsRetrieve/aa/c0/aac05cb1c3f74289ab28c20b12280b8b.dcm"
1.2.276.0.7230010.3.1.2.8323329.27656.1517874479.715921,"/defaultStorage/fsRetrieve/ef/41/ef41d9d588a24527afe74bf4d9fa476e.dcm"
1.2.276.0.7230010.3.1.2.8323329.27165.1517874476.214458,"/defaultStorage/fsRetrieve/85/b0/85b081b67d3043fbbe19efa3fb4baee5.dcm"
1.2.276.0.7230010.3.1.2.8323329.20638.1517874429.33758,"/defaultStorage/fsRetrieve/f6/0c/f60c0a7f762144c59b376c8244468b69.dcm"
1.2.276.0.7230010.3.1.2.8323329.11746.1517874360.282743,"/defaultStorage/fsRetrieve/56/83/5683cca37f4a4c2ebc3b773a080ebc50.dcm"
1.2.276.0.7230010.3.1.2.8323329.1824.1517874293.93372,"/defaultStorage/fsRetrieve/f5/27/f52772cc56364b20ad3385951a370cde.dcm"
1.2.276.0.7230010.3.1.2.8323329.6284.1517874324.815194,"/defaultStorage/fsRetrieve/22/83/22838f08b21545f8bfb66d5ce0ef7ce7.dcm"
1.2.276.0.7230010.3.1.2.8323329.20114.1517874423.565241,"/defaultStorage/fsRetrieve/26/93/269341085def4e75b8a61259b8545ec2.dcm"
1.2.276.0.7230010.3.1.2.8323329.26336.1517874470.799587,"/defaultStorage/fsRetrieve/e6/5f/e65fecb56b4d4cdeb7662eec30f3be30.dcm"
1.2.276.0.7230010.3.1.2.8323329.22913.1517874444.436958,"/defaultStorage/fsRetrieve/98/cf/98cfc5b1e6404700996152c652d52a15.dcm"
1.2.276.0.7230010.3.1.2.8323329.18103.1517874408.600688,"/defaultStorage/fsRetrieve/da/60/da600c756a6348b6af252b14f5143083.dcm"
1.2.276.0.7230010.3.1.2.8323329.24027.1517874452.28010,"/defaultStorage/fsRetrieve/25/e5/25e5cd2274394d26aa2d5eb3a5564ce1.dcm"
1.2.276.0.7230010.3.1.2.8323329.11143.1517874356.828007,"/defaultStorage/fsRetrieve/48/9a/489ae5a677264219869a1b423d036c07.dcm"
1.2.276.0.7230010.3.1.2.8323329.8117.1517874335.637078,"/defaultStorage/fsRetrieve/5c/ef/5cef5a04e6964cd8b0437e103f862d2f.dcm"
1.2.276.0.7230010.3.1.2.8323329.8926.1517874340.276050,"/defaultStorage/fsRetrieve/bf/75/bf75027c6747461f9aae483ea210ac00.dcm"
1.2.276.0.7230010.3.1.2.8323329.27331.1517874477.849303,"/defaultStorage/fsRetrieve/04/1f/041f017207d5437eba67261a309317b5.dcm"
1.2.276.0.7230010.3.1.2.8323329.7016.1517874329.121382,"/defaultStorage/fsRetrieve/b7/23/b723be092405484abf64e2076cbb1c20.dcm"
1.2.276.0.7230010.3.1.2.8323329.23525.1517874448.587555,"/defaultStorage/fsRetrieve/18/c6/18c606a722a14923991ccf9762645d37.dcm"
1.2.276.0.7230010.3.1.2.8323329.13800.1517874374.709188,"/defaultStorage/fsRetrieve/70/1c/701cb8acc035461799d8f18310041c8a.dcm"
1.2.276.0.7230010.3.1.2.8323329.12177.1517874363.487140,"/defaultStorage/fsRetrieve/ce/47/ce4782819aa1432ea94e83762670cbcd.dcm"
1.2.276.0.7230010.3.1.2.8323329.1512.1517874291.317790,"/defaultStorage/fsRetrieve/7c/3d/7c3da787e7ee4045bd5adc136e6cfac5.dcm"
1.2.276.0.7230010.3.1.2.8323329.2638.1517874297.629217,"/defaultStorage/fsRetrieve/ad/7e/ad7e1c68cbf84585b7897869f273ae6b.dcm"
1.2.276.0.7230010.3.1.2.8323329.3536.1517874302.536032,"/defaultStorage/fsRetrieve/94/db/94db699381254d08847841369171d54c.dcm"
1.2.276.0.7230010.3.1.2.8323329.18509.1517874411.19519,"/defaultStorage/fsRetrieve/40/e2/40e2fd3c38654f76b91343565b505953.dcm"
1.2.276.0.7230010.3.1.2.8323329.12712.1517874367.177446,"/defaultStorage/fsRetrieve/12/23/122321670a0f4577a4680b50e154da39.dcm"
1.2.276.0.7230010.3.1.2.8323329.10351.1517874350.677707,"/defaultStorage/fsRetrieve/0a/c6/0ac652e4a1b3416a8ec8ebfcbbd4bee2.dcm"
1.2.276.0.7230010.3.1.2.8323329.19320.1517874416.853206,"/defaultStorage/fsRetrieve/36/28/3628352fc7a645f7bbca85c40bde33bb.dcm"
1.2.276.0.7230010.3.1.2.8323329.6451.1517874325.855439,"/defaultStorage/fsRetrieve/4a/aa/4aaa0a92cf49474fbef0b30719865adb.dcm"
1.2.276.0.7230010.3.1.2.8323329.25920.1517874468.405579,"/defaultStorage/fsRetrieve/c6/28/c628a006ae84454383448427b69e391c.dcm"
1.2.276.0.7230010.3.1.2.8323329.31296.1517874508.6586,"/defaultStorage/fsRetrieve/56/3c/563c2ad4f94e45a3b3de4c25b4ef8489.dcm"
1.2.276.0.7230010.3.1.2.8323329.27418.1517874478.354420,"/defaultStorage/fsRetrieve/b9/62/b9628671d2ae4d0298f71d8da64f8c32.dcm"
1.2.276.0.7230010.3.1.2.8323329.27478.1517874478.724376,"/defaultStorage/fsRetrieve/c2/a8/c2a882a4954742c892efa34362f445dd.dcm"
1.2.276.0.7230010.3.1.2.8323329.23084.1517874445.416687,"/defaultStorage/fsRetrieve/9e/19/9e19d40cd8594d50ae38b69d79522331.dcm"
1.2.276.0.7230010.3.1.2.8323329.27910.1517874481.311666,"/defaultStorage/fsRetrieve/03/f4/03f4e8165e034dbc9167db8b21ea9f90.dcm"
1.2.276.0.7230010.3.1.2.8323329.9721.1517874344.565474,"/defaultStorage/fsRetrieve/e7/2f/e72fcb850c7344b79a17ae3836147c67.dcm"
1.2.276.0.7230010.3.1.2.8323329.28857.1517874488.189901,"/defaultStorage/fsRetrieve/82/1f/821f218eb1f94ec9858901a04732c8c2.dcm"
1.2.276.0.7230010.3.1.2.8323329.8824.1517874339.654083,"/defaultStorage/fsRetrieve/4b/df/4bdf7e69bb2d4f70ade650d0ca0c17e6.dcm"
1.2.276.0.7230010.3.1.2.8323329.4338.1517874307.217578,"/defaultStorage/fsRetrieve/16/9e/169eafc14787432182056b6b595d2ec0.dcm"
1.2.276.0.7230010.3.1.2.8323329.25018.1517874462.229998,"/defaultStorage/fsRetrieve/29/3c/293c733d45dd4dc5ad2473520ffbf405.dcm"
1.2.276.0.7230010.3.1.2.8323329.17429.1517874404.33401,"/defaultStorage/fsRetrieve/2b/ca/2bcac5abf2b34e41953f52eeb835d6be.dcm"
1.2.276.0.7230010.3.1.2.8323329.15480.1517874386.97249,"/defaultStorage/fsRetrieve/df/65/df653795a97449f08dcfb1dbfd754786.dcm"
1.2.276.0.7230010.3.1.2.8323329.2842.1517874298.666514,"/defaultStorage/fsRetrieve/13/3a/133ae369b0024104b8c7aafb4e8f8a40.dcm"
1.2.276.0.7230010.3.1.2.8323329.26679.1517874473.528116,"/defaultStorage/fsRetrieve/54/97/5497cf76e7374d4d88fb177c52ab3512.dcm"
1.2.276.0.7230010.3.1.2.8323329.12025.1517874362.662912,"/defaultStorage/fsRetrieve/8c/f1/8cf16811e2c2413f88b9af5a4d7faba7.dcm"
1.2.276.0.7230010.3.1.2.8323329.21407.1517874433.960212,"/defaultStorage/fsRetrieve/e3/76/e3765d77363a449eb8af41d9f7430857.dcm"
1.2.276.0.7230010.3.1.2.8323329.21599.1517874435.98730,"/defaultStorage/fsRetrieve/a2/36/a236935412a64fdf9c52eb7f95372570.dcm"
1.2.276.0.7230010.3.1.2.8323329.13033.1517874369.32253,"/defaultStorage/fsRetrieve/5b/9f/5b9f2c333c784d44ab88c63847240b8d.dcm"
1.2.276.0.7230010.3.1.2.8323329.30352.1517874498.560045,"/defaultStorage/fsRetrieve/28/90/28907a3bdd7547d694f7a6dcc96dac75.dcm"
1.2.276.0.7230010.3.1.2.8323329.20821.1517874429.960272,"/defaultStorage/fsRetrieve/1a/a8/1aa8e49127ff419890ed5c32f3d848d1.dcm"
1.2.276.0.7230010.3.1.2.8323329.4818.1517874309.918767,"/defaultStorage/fsRetrieve/22/76/2276f9c65bd94975944c7147f5de4f22.dcm"
1.2.276.0.7230010.3.1.2.8323329.21620.1517874435.202719,"/defaultStorage/fsRetrieve/82/db/82dbf4c3c05c426ca97c5d1151adaf98.dcm"
1.2.276.0.7230010.3.1.2.8323329.29612.1517874492.794202,"/defaultStorage/fsRetrieve/c4/a9/c4a9f0da9dd44986aa1c43b30f6ebb69.dcm"
1.2.276.0.7230010.3.1.2.8323329.6643.1517874327.82267,"/defaultStorage/fsRetrieve/03/75/03759c3f16904b5f935481cc63ed1b8b.dcm"
1.2.276.0.7230010.3.1.2.8323329.11693.1517874359.2597,"/defaultStorage/fsRetrieve/f6/b6/f6b65760dc404f4c9368249df94c9097.dcm"
1.2.276.0.7230010.3.1.2.8323329.6200.1517874324.308114,"/defaultStorage/fsRetrieve/72/13/7213493da7a140429ec9bbaa1f9d34d8.dcm"
1.2.276.0.7230010.3.1.2.8323329.23124.1517874445.758782,"/defaultStorage/fsRetrieve/60/6a/606ad3b78ed644548fae311da8218cac.dcm"
1.2.276.0.7230010.3.1.2.8323329.30975.1517874505.390038,"/defaultStorage/fsRetrieve/67/f4/67f4f01ce1cc40748f9d6b89da2df37f.dcm"
1.2.276.0.7230010.3.1.2.8323329.2513.1517874296.999437,"/defaultStorage/fsRetrieve/16/4c/164c39143af74a0d87b74d9a91b3d22a.dcm"
1.2.276.0.7230010.3.1.2.8323329.6234.1517874324.473949,"/defaultStorage/fsRetrieve/b5/71/b5711e711f824eb385382cdc3a487d9d.dcm"
1.2.276.0.7230010.3.1.2.8323329.31016.1517874505.712917,"/defaultStorage/fsRetrieve/94/5b/945bd207ebef48e69eda8b01f8eaa9f0.dcm"
1.2.276.0.7230010.3.1.2.8323329.16995.1517874400.750548,"/defaultStorage/fsRetrieve/91/a1/91a1dbb8cbd74f1b8597f22023370a62.dcm"
1.2.276.0.7230010.3.1.2.8323329.9085.1517874341.23673,"/defaultStorage/fsRetrieve/c7/c3/c7c38250528c411db6bd4cc3d659c7ae.dcm"
1.2.276.0.7230010.3.1.2.8323329.5921.1517874319.37451,"/defaultStorage/fsRetrieve/aa/02/aa02d4eb15734af19cb72ba8560b366c.dcm"
1.2.276.0.7230010.3.1.2.8323329.9541.1517874343.661920,"/defaultStorage/fsRetrieve/e0/8c/e08c56ec2c554b929c70eea41fc15781.dcm"
1.2.276.0.7230010.3.1.2.8323329.22732.1517874443.419275,"/defaultStorage/fsRetrieve/bb/42/bb429f83852e4584a08d61f0ec828f59.dcm"
1.2.276.0.7230010.3.1.2.8323329.10242.1517874347.589337,"/defaultStorage/fsRetrieve/32/20/3220e6f10a07433a9c28f443c9d38bbf.dcm"
1.2.276.0.7230010.3.1.2.8323329.19420.1517874417.940757,"/defaultStorage/fsRetrieve/5b/a6/5ba602d707fc49e4adf37cc84eb4c3c3.dcm"
1.2.276.0.7230010.3.1.2.8323329.23444.1517874448.135360,"/defaultStorage/fsRetrieve/12/f2/12f29f7776484ff4a599927c3d148db7.dcm"
1.2.276.0.7230010.3.1.2.8323329.28512.1517874485.701639,"/defaultStorage/fsRetrieve/cb/ab/cbabb674ab1f462d91653f2f411be859.dcm"
1.2.276.0.7230010.3.1.2.8323329.18499.1517874410.974714,"/defaultStorage/fsRetrieve/e4/aa/e4aa593816954c68b66f6c3ddef33a41.dcm"
1.2.276.0.7230010.3.1.2.8323329.18945.1517874414.447925,"/defaultStorage/fsRetrieve/cb/e0/cbe028893c65413081e72381e616abb3.dcm"
1.2.276.0.7230010.3.1.2.8323329.23107.1517874445.668665,"/defaultStorage/fsRetrieve/8f/0f/8f0fb94effdb4cdeaef364baa0a40dc0.dcm"
1.2.276.0.7230010.3.1.2.8323329.30049.1517874495.275414,"/defaultStorage/fsRetrieve/d5/b1/d5b1543433fd4a24ab9e2b2577b22d76.dcm"
1.2.276.0.7230010.3.1.2.8323329.6130.1517874321.844926,"/defaultStorage/fsRetrieve/d2/c8/d2c8976506b04fd0b861d880e8df7f33.dcm"
1.2.276.0.7230010.3.1.2.8323329.14233.1517874378.263546,"/defaultStorage/fsRetrieve/08/c6/08c6821a86c84b08b92515ac13a97075.dcm"
1.2.276.0.7230010.3.1.2.8323329.2570.1517874297.270650,"/defaultStorage/fsRetrieve/37/9b/379bf7a7bf274be88d5fd8656ee60695.dcm"
1.2.276.0.7230010.3.1.2.8323329.1977.1517874293.838561,"/defaultStorage/fsRetrieve/34/2c/342c270c87634348a8dc6700fca559c5.dcm"
1.2.276.0.7230010.3.1.2.8323329.1733.1517874292.526486,"/defaultStorage/fsRetrieve/f1/d5/f1d592e1fc0e4b398df4f24fe0b76af8.dcm"
1.2.276.0.7230010.3.1.2.8323329.16180.1517874395.225573,"/defaultStorage/fsRetrieve/6d/ac/6dace443aa0544b7a62f6f83e2ee5929.dcm"
1.2.276.0.7230010.3.1.2.8323329.29646.1517874492.998524,"/defaultStorage/fsRetrieve/4e/3c/4e3cfe42afbe4f2f9512931b4a5ab761.dcm"
1.2.276.0.7230010.3.1.2.8323329.9657.1517874344.242408,"/defaultStorage/fsRetrieve/50/f6/50f67e856c4a4a35af8923fa1b93f9d2.dcm"
1.2.276.0.7230010.3.1.2.8323329.7519.1517874332.63596,"/defaultStorage/fsRetrieve/b2/5b/b25b6e2fe8734ff2bbd4355a5ca9263d.dcm"
1.2.276.0.7230010.3.1.2.8323329.9174.1517874341.477852,"/defaultStorage/fsRetrieve/90/21/9021ce8b77184ee3a582d4963222d890.dcm"
1.2.276.0.7230010.3.1.2.8323329.12662.1517874366.908404,"/defaultStorage/fsRetrieve/cf/7f/cf7f57a0feac45e9a86f17e427e58277.dcm"
1.2.276.0.7230010.3.1.2.8323329.30241.1517874496.613003,"/defaultStorage/fsRetrieve/f2/ef/f2efbeabc0c44bb29da9678a44ffc068.dcm"
1.2.276.0.7230010.3.1.2.8323329.12644.1517874366.824542,"/defaultStorage/fsRetrieve/6c/20/6c20d6ab9ef547a4b07d07d4af3ab7df.dcm"
1.2.276.0.7230010.3.1.2.8323329.11780.1517874360.479700,"/defaultStorage/fsRetrieve/76/6c/766c977c8bee4603b508ce032d95fccf.dcm"
1.2.276.0.7230010.3.1.2.8323329.3621.1517874303.39566,"/defaultStorage/fsRetrieve/45/63/4563788b40e84097bf72cc6634a7f88d.dcm"
1.2.276.0.7230010.3.1.2.8323329.8045.1517874335.207444,"/defaultStorage/fsRetrieve/ae/a6/aea67272437149229044a190645b1ee9.dcm"
1.2.276.0.7230010.3.1.2.8323329.3150.1517874300.397712,"/defaultStorage/fsRetrieve/f9/0e/f90ec8816fe64c579ae98145aa0849bb.dcm"
1.2.276.0.7230010.3.1.2.8323329.28936.1517874488.637917,"/defaultStorage/fsRetrieve/75/44/754450f0216b425597bccb47b482b588.dcm"
1.2.276.0.7230010.3.1.2.8323329.15542.1517874387.160863,"/defaultStorage/fsRetrieve/88/ec/88ec36335b0346abb45ea4d4a3e18406.dcm"
1.2.276.0.7230010.3.1.2.8323329.13141.1517874369.624336,"/defaultStorage/fsRetrieve/fc/85/fc850d702c414dfc99563145cc17d18c.dcm"
1.2.276.0.7230010.3.1.2.8323329.13758.1517874374.481565,"/defaultStorage/fsRetrieve/12/30/12303e431d864201ad49a079cecd329b.dcm"
1.2.276.0.7230010.3.1.2.8323329.5505.1517874316.724949,"/defaultStorage/fsRetrieve/f9/c7/f9c7ca513c2c4a9db4393954fb2c03d4.dcm"
1.2.276.0.7230010.3.1.2.8323329.25369.1517874464.487077,"/defaultStorage/fsRetrieve/81/89/81894134fb6d4febaeb9c4ad9f5253ab.dcm"
1.2.276.0.7230010.3.1.2.8323329.10937.1517874355.260326,"/defaultStorage/fsRetrieve/b0/ef/b0efb4ef7115413f9a7ab1f3cd01a83c.dcm"
1.2.276.0.7230010.3.1.2.8323329.4240.1517874306.742385,"/defaultStorage/fsRetrieve/5e/56/5e56e2f03a3c4e1a8fb3d77d255d0e73.dcm"
1.2.276.0.7230010.3.1.2.8323329.3920.1517874304.968278,"/defaultStorage/fsRetrieve/d3/09/d309a9199ca04daf8100f0e1d86aff3b.dcm"
1.2.276.0.7230010.3.1.2.8323329.29010.1517874489.25670,"/defaultStorage/fsRetrieve/48/55/485500a133d2406f9420fc63d694aae6.dcm"
1.2.276.0.7230010.3.1.2.8323329.3692.1517874303.532760,"/defaultStorage/fsRetrieve/51/8b/518b2a44e99345a994305503a58f5f12.dcm"
1.2.276.0.7230010.3.1.2.8323329.6326.1517874325.181287,"/defaultStorage/fsRetrieve/99/d3/99d3ae9f99f444e2ad544a5e158e5ecb.dcm"
1.2.276.0.7230010.3.1.2.8323329.22504.1517874441.832557,"/defaultStorage/fsRetrieve/0d/a9/0da90e34c9f4422f94e188ea5f21665c.dcm"
1.2.276.0.7230010.3.1.2.8323329.20809.1517874429.906809,"/defaultStorage/fsRetrieve/5b/6e/5b6e1cc71c39416c9502d99113a7e601.dcm"
1.2.276.0.7230010.3.1.2.8323329.28555.1517874485.920994,"/defaultStorage/fsRetrieve/96/bc/96bc5ff9a98c4d1d9302cb46ac6d6c75.dcm"
1.2.276.0.7230010.3.1.2.8323329.23622.1517874449.85578,"/defaultStorage/fsRetrieve/3b/3e/3b3e12e915b448598a654b05bd204c01.dcm"
1.2.276.0.7230010.3.1.2.8323329.23919.1517874450.773595,"/defaultStorage/fsRetrieve/00/40/004075eac6ee47579d6a243a9b00740b.dcm"
1.2.276.0.7230010.3.1.2.8323329.1695.1517874292.337881,"/defaultStorage/fsRetrieve/19/65/1965c7af5d7b4dc6a56a9877f2b17324.dcm"
1.2.276.0.7230010.3.1.2.8323329.14717.1517874381.464098,"/defaultStorage/fsRetrieve/15/c9/15c994324d9346e5b384f794c6f8418e.dcm"
1.2.276.0.7230010.3.1.2.8323329.14845.1517874382.172580,"/defaultStorage/fsRetrieve/4e/b1/4eb198cf5042457abb187d0f13fac5d8.dcm"
1.2.276.0.7230010.3.1.2.8323329.22117.1517874438.942530,"/defaultStorage/fsRetrieve/07/25/072546e2d5524a6fbe8d53f568365628.dcm"
1.2.276.0.7230010.3.1.2.8323329.10167.1517874347.157674,"/defaultStorage/fsRetrieve/f2/ae/f2ae656e29ed447282090ba69e8cff67.dcm"
1.2.276.0.7230010.3.1.2.8323329.30709.1517874503.926608,"/defaultStorage/fsRetrieve/6a/37/6a3746d1d4d940969b7c2c4958e747a8.dcm"
1.2.276.0.7230010.3.1.2.8323329.22942.1517874444.669779,"/defaultStorage/fsRetrieve/18/2a/182a86c850c84a6981f3c49b65137d4d.dcm"
1.2.276.0.7230010.3.1.2.8323329.22071.1517874438.674323,"/defaultStorage/fsRetrieve/c0/50/c050ba26ec6b4b68b4dd64ea43c2334b.dcm"
1.2.276.0.7230010.3.1.2.8323329.13847.1517874375.113262,"/defaultStorage/fsRetrieve/a2/df/a2df487e09cc47a5add3ccd00a785cd2.dcm"
1.2.276.0.7230010.3.1.2.8323329.26114.1517874469.491525,"/defaultStorage/fsRetrieve/64/b2/64b201d10d664a78b3b320d395f4ac4e.dcm"
1.2.276.0.7230010.3.1.2.8323329.11987.1517874362.491540,"/defaultStorage/fsRetrieve/59/b4/59b467c6872a47cb9d0a3145f1c86bf9.dcm"
1.2.276.0.7230010.3.1.2.8323329.26644.1517874473.354130,"/defaultStorage/fsRetrieve/b5/0a/b50a28735c1e425a924591367ea8cba3.dcm"
1.2.276.0.7230010.3.1.2.8323329.15749.1517874392.756578,"/defaultStorage/fsRetrieve/09/3e/093ec79c0ca74e0d8eccee5f2176c0f6.dcm"
1.2.276.0.7230010.3.1.2.8323329.22678.1517874443.90735,"/defaultStorage/fsRetrieve/76/03/7603db0f46ea4188b18a3ec56e8e3d34.dcm"
1.2.276.0.7230010.3.1.2.8323329.12108.1517874363.140945,"/defaultStorage/fsRetrieve/73/e9/73e9538bdff74fbfbdc7da3b7a287c29.dcm"
1.2.276.0.7230010.3.1.2.8323329.18907.1517874414.272835,"/defaultStorage/fsRetrieve/91/82/918270f33aed449d9860f16a45c61e04.dcm"
1.2.276.0.7230010.3.1.2.8323329.15068.1517874383.404110,"/defaultStorage/fsRetrieve/35/99/3599e19345244970b1ca57d31a27039d.dcm"
1.2.276.0.7230010.3.1.2.8323329.18547.1517874411.358362,"/defaultStorage/fsRetrieve/34/cc/34cc84465a5a4dc2bedbb3d910bef976.dcm"
1.2.276.0.7230010.3.1.2.8323329.11267.1517874357.532134,"/defaultStorage/fsRetrieve/51/02/510204a26577441e82ed2b77d4130954.dcm"
1.2.276.0.7230010.3.1.2.8323329.3497.1517874302.313021,"/defaultStorage/fsRetrieve/fe/28/fe284975695e4800b6373bdafd08f720.dcm"
1.2.276.0.7230010.3.1.2.8323329.14850.1517874382.206370,"/defaultStorage/fsRetrieve/08/42/0842b8f345884d86bee1f99ae2025f3e.dcm"
1.2.276.0.7230010.3.1.2.8323329.28902.1517874488.479792,"/defaultStorage/fsRetrieve/a9/54/a954e88570f143c39a4fc7b6f8504626.dcm"
1.2.276.0.7230010.3.1.2.8323329.9005.1517874340.654639,"/defaultStorage/fsRetrieve/ad/9f/ad9ffe1f8638465bb6de0fa6c71c20ab.dcm"
1.2.276.0.7230010.3.1.2.8323329.22266.1517874439.833376,"/defaultStorage/fsRetrieve/fe/a2/fea2f78b3c1c4350abb63d024fed1cf5.dcm"
1.2.276.0.7230010.3.1.2.8323329.18644.1517874412.744943,"/defaultStorage/fsRetrieve/28/a3/28a35b7fb9f14f6997a2b896c7675a30.dcm"
1.2.276.0.7230010.3.1.2.8323329.8062.1517874335.313484,"/defaultStorage/fsRetrieve/17/0c/170cb464fda94740a69d66923dd761f0.dcm"
1.2.276.0.7230010.3.1.2.8323329.13330.1517874371.325259,"/defaultStorage/fsRetrieve/42/78/4278c0dc518c4003ab5559dbf4f6d302.dcm"
1.2.276.0.7230010.3.1.2.8323329.24700.1517874456.154897,"/defaultStorage/fsRetrieve/04/6b/046b9ea9d2a246789c46898976cf6c6f.dcm"
1.2.276.0.7230010.3.1.2.8323329.8755.1517874339.182853,"/defaultStorage/fsRetrieve/ab/80/ab804780a5804e13a8e4f8f6bf18902e.dcm"
1.2.276.0.7230010.3.1.2.8323329.8107.1517874335.603746,"/defaultStorage/fsRetrieve/ca/c6/cac6cc12943248bfb10eb76d77c4eb04.dcm"
1.2.276.0.7230010.3.1.2.8323329.20674.1517874429.188402,"/defaultStorage/fsRetrieve/0e/0b/0e0b38985e324ba0912a703a1da612ac.dcm"
1.2.276.0.7230010.3.1.2.8323329.16433.1517874397.551527,"/defaultStorage/fsRetrieve/3a/5f/3a5f75c747204b4992692393b006d95a.dcm"
1.2.276.0.7230010.3.1.2.8323329.5292.1517874313.82107,"/defaultStorage/fsRetrieve/a9/1b/a91b8982e2034e1aa2a672100ce07fc9.dcm"
1.2.276.0.7230010.3.1.2.8323329.6654.1517874327.123342,"/defaultStorage/fsRetrieve/1c/c9/1cc960a4615b4a1fac211b908fa221ac.dcm"
1.2.276.0.7230010.3.1.2.8323329.11140.1517874356.811966,"/defaultStorage/fsRetrieve/8d/d9/8dd96769f2854384bedb0f28c777e4b0.dcm"
1.2.276.0.7230010.3.1.2.8323329.18698.1517874413.115890,"/defaultStorage/fsRetrieve/58/cd/58cdbd6168cd4446895293c0ce9f4676.dcm"
1.2.276.0.7230010.3.1.2.8323329.2818.1517874298.577194,"/defaultStorage/fsRetrieve/88/db/88dbd2ca229e4701a80364e40930ddaa.dcm"
1.2.276.0.7230010.3.1.2.8323329.21183.1517874432.654096,"/defaultStorage/fsRetrieve/b9/01/b901aa1166ca48eb865d9a24ca91a0b5.dcm"
1.2.276.0.7230010.3.1.2.8323329.8964.1517874340.489527,"/defaultStorage/fsRetrieve/54/80/5480dfcd787b4021815e37a79fb7fbfe.dcm"
1.2.276.0.7230010.3.1.2.8323329.26280.1517874470.393191,"/defaultStorage/fsRetrieve/24/81/248175ba935247aa94616afe06762cea.dcm"
1.2.276.0.7230010.3.1.2.8323329.17714.1517874405.726882,"/defaultStorage/fsRetrieve/89/1d/891d79edfdc5456593437bbb0a3c1c29.dcm"
1.2.276.0.7230010.3.1.2.8323329.10515.1517874352.523766,"/defaultStorage/fsRetrieve/86/c7/86c75b665007428aa738773bb7413a9b.dcm"
1.2.276.0.7230010.3.1.2.8323329.16338.1517874396.249467,"/defaultStorage/fsRetrieve/2f/3a/2f3a5708dd424958aa1afce97755ca3f.dcm"
